upvote_percent,age,tweet,AC,freq
0.63,9.0,"['we', 'have', 'to', 'be', 'careful', 'trick', 'or', 'treating', 'this', 'year', 'because', 'they', 'are', 'handing', 'out', 'drugs', 'that', 'look', 'like', 'candy', 'and', 'if', 'we', 'touch', 'them', 'we’ll', 'die”']",1.8239999999999998,0.04160218148148148
0.86,7.0,"['whew', 'last', 'day', 'of', 'ramadan', 'youre', 'cooking', 'the', 'big', 'eid', 'feast', 'tomorrow', 'right']",3.0416923076923084,0.06303806923076923
0.87,9.0,"['pink', 'isnt', 'a', 'girl', 'color', 'colors', 'are', 'colors', 'i', 'like', 'pink', 'highlighters', 'that', 'doesnt', 'make', 'me', 'a', 'girl', 'and', 'i', 'know', 'a', 'boy', 'named', 'lucas', 'who', 'likes', 'purple', 'colors', 'arent', 'a', 'gender']",2.9931249999999996,0.052793523125000005
0.87,4.0,"['pink', 'is', 'a', 'girl', 'color', 'well', 'i', 'like', 'green', 'because', 'its', 'the', 'color', 'of', 'leaves']",3.0266666666666664,0.0882816
0.87,13.0,"['pretend', 'youre', 'not', 'a', 'jew']",1.9780000000000002,0.0556721
0.87,14.0,"['whats', 'happened', 'to', 'our', 'country']",2.1113999999999997,0.05749518
0.88,12.0,"['no', 'one', 'ever', 'mentions', 'farmers', 'you', 'know', 'everyone', 'here', 'ate', 'today']",2.662909090909091,0.016455545454545455
0.88,6.0,"['theres', 'every', 'different', 'kind', 'of', 'ariel', 'in', 'the', 'multiverse']",1.5514444444444446,0.10966679777777778
0.89,,"['i', 'just', 'think', 'its', 'funny', 'how', 'you', 'havent', 'complimented', 'my', 'very', 'beautiful', 'sister', 'who', 'spent', 'time', 'doing', 'her', 'makeup', 'and', 'picking', 'out', 'her', 'outfit']",2.589166666666667,0.029481808333333335
0.9,11.0,"['thanks', 'for', 'the', 'life', 'lesson', 'but', 'ill', 'never', 'drive', 'a', 'gas', 'car']",2.7460833333333334,0.07794083333333332
0.9,13.0,"['this', 'is', 'like', 'the', 'time', 'you', 'showed', 'us', 'how', 'a', 'pay', 'phone', 'works']",2.3653846153846154,0.08656799999999998
0.9,5.0,"['you', 'watch', 'other', 'people', 'play', 'football', 'why', 'dont', 'you', 'play', 'yourself']",3.9936363636363628,0.022365454545454543
0.91,7.0,"['how', 'many', 'nonbinary', 'children', 'are', 'there']",1.521333333333333,0.01731367333333333
0.91,4.0,"['i', 'wander', 'who', 'really', 'wanted', 'the', 'universe', 'to', 'appear', 'that', 'it', 'started', 'to', 'exist']",1.3247142857142857,0.10191077142857144
0.91,5.0,"['i', 'could', 'also', 'own', 'the', 'plane']",2.5576666666666665,0.11550416666666664
0.92,8.0,"['we', 'sould', 'make', 'all', 'people', 'feel', 'loved', 'even', 'if', 'other', 'people', 'dont', 'see', 'thath']",1.9744999999999997,0.013428673928571428
0.94,11.0,"['taxes', 'are', 'the', 'subscription', 'to', 'this', 'country', 'and', 'childhood', 'is', 'the', 'free', 'trial”']",1.705846153846154,0.1420782307692308
0.94,4.0,"['sometimes', 'when', 'i', 'feel', 'anxious', 'god', 'touches', 'me', 'not', 'like', 'with', 'his', 'hand', 'its', 'different', 'he', 'touches', 'me', 'in', 'my', 'heart']",2.588666666666667,0.03284876190476191
0.95,10.0,"['did', 'you', 'hear', 'that', 'thats', 'not', 'right', 'we', 'should', 'call', 'them', 'intuit']",1.8089166666666665,0.02749867416666667
0.95,4.0,"['why', 'did', 'the', 'bad', 'mad', 'do', 'this']",1.0164285714285715,0.09243857142857144
0.96,3.0,"['everyone', 'dies', 'one', 'day', 'everyone', 'even', 'wolves', 'but', 'not', 'books', 'not', 'words', 'words', 'don’t', 'die”']",2.672933333333334,0.014471933333333336
0.96,8.0,"['they', 'separate', 'everything', 'so', 'we', 'cant', 'understand', 'anything', 'who', 'says', 'music', 'isnt', 'really', 'math', 'or', 'math', 'isnt', 'science', 'really', 'someone', 'made', 'categories', 'but', 'the', 'world', 'is', 'mushier', 'than', 'that']",1.9492413793103447,0.035383218344827584
0.96,5.0,"['i', 'know', 'you', 'are', 'a', 'boy', 'but', 'i', 'think', 'you', 'are', 'a', 'theythem', 'kind', 'of', 'boy']",1.8801874999999997,0.08306750000000002
0.96,5.0,"['i', 'believe', 'in', 'science', 'not', 'jesus']",2.257,0.06058949999999999
0.98,,"['i', 'am', 'vaccinated', 'so', 'i', 'dont', 'need', 'presents', 'i', 'wish', 'for', 'equality', 'and', 'for', 'elon', 'musk', 'to', 'stop', 'destroying', 'the', 'world']",2.0324761904761903,0.08086789047619047
0.97,9.0,"['hakuna', 'matata', 'tells', 'us', 'to', 'push', 'down', 'bad', 'feelings', 'instead', 'of', 'sitting', 'in', 'them', 'and', 'feeling', 'your', 'feelings']",1.6118333333333337,0.057804873888888886
0.97,8.0,"['what', 'difference', 'does', 'it', 'make', 'its', 'not', 'like', 'the', 'winner', 'is', 'going', 'to', 'solve', 'climate', 'change']",1.5580000000000003,0.07229418750000001
0.97,7.0,"['its', 'not', 'fair', 'that', 'you', 'and', 'daddy', 'got', 'to', 'have', 'a', 'coronavirus', 'free', 'childhood', 'most', 'of', 'my', 'life', 'that', 'i', 'can', 'remember', 'were', 'coronavirus', 'years', 'and', 'im', 'scared', 'that', 'the', 'rest', 'of', 'my', 'life', 'wil', 'be', 'a', 'coronavirus', 'life', 'too']",1.8095499999999998,0.0793924225
0.96,8.0,"['its', 'just', 'like', 'climate', 'change', 'they', 'wont', 'do', 'anything', 'because', 'they', 'say', 'its', 'too', 'expensive', 'but', 'it', 'will', 'end', 'up', 'costing', 'human', 'lives']",1.6244782608695656,0.01714239130434783
0.98,6.0,"['does', 'the', 'air', 'always', 'smell', 'like', 'white', 'privilege']",2.705,0.07249962499999998
0.96,5.0,"['we', 'always', 'say', 'amen', 'at', 'the', 'end', 'of', 'everything', 'i', 'dont', 'know', 'why', 'we', 'never', 'say', 'agirl']",1.0900588235294117,0.06411206470588234
0.95,6.0,"['i', 'dont', 'wanna', 'grow', 'up', 'because', 'i', 'cant', 'bake', 'i', 'can', 'only', 'make', 'cereal', 'and', 'furniture', 'is', 'expensive']",2.998833333333333,0.04642718333333333
