upvote_percent,age,tweet,AC,freq
0.63,9.0,"['we', 'have', 'to', 'be', 'careful', 'trick', 'or', 'treating', 'this', 'year', 'because', 'they', 'are', 'handing', 'out', 'drugs', 'that', 'look', 'like', 'candy', 'and', 'if', 'we', 'touch', 'them', 'we’ll', 'die”']","[0.1045, 0.06810000000000001, -1, 0.0507, 0.07239999999999999, 0.4327, 0.05739999999999999, 0.1895, 0.0708, 0.5092, 0.048799999999999996, 0.0989, 0.1086, 0.3785, 0.1303, 0.7261, 0.0639, 0.4117, 0.055600000000000004, 0.8223, -1, 0.0349, 0.1045, 0.5956, 0.1898, -1, -1]","[0.0347, 0.0513, 0.269, 0.061700000000000005, 0.00038899999999999997, 0.00030199999999999997, 0.0347, 0.00018600000000000002, 0.0661, 0.00912, 0.0107, 0.0316, 0.05499999999999999, 5.89e-05, 0.023999999999999997, 0.000589, 0.10200000000000001, 0.00646, 0.025699999999999997, 0.000195, 0.257, 0.0295, 0.0347, 0.0008129999999999999, 0.0155, 0.000776, 0.00117]"
0.86,7.0,"['whew', 'last', 'day', 'of', 'ramadan', 'youre', 'cooking', 'the', 'big', 'eid', 'feast', 'tomorrow', 'right']","[0.24620000000000003, 0.07089999999999999, 0.5673, -1, 0.5244, 0.3984, 0.6529, 0.1768, 0.44420000000000004, 0.14850000000000002, 0.5577, 0.1508, 0.11610000000000001]","[1.74e-05, 0.00724, 0.00891, 0.251, 1.62e-05, 7.24e-05, 0.000282, 0.5369999999999999, 0.00468, 1.78e-05, 8.91e-05, 0.0010500000000000002, 0.00912]"
0.87,9.0,"['pink', 'isnt', 'a', 'girl', 'color', 'colors', 'are', 'colors', 'i', 'like', 'pink', 'highlighters', 'that', 'doesnt', 'make', 'me', 'a', 'girl', 'and', 'i', 'know', 'a', 'boy', 'named', 'lucas', 'who', 'likes', 'purple', 'colors', 'arent', 'a', 'gender']","[0.6799999999999999, -1, -1, 0.7321, 0.6068, 0.6731, 0.1086, 0.6731, 0.3598, 0.055600000000000004, 0.6799999999999999, 0.7228, 0.0639, -1, 0.2793, 0.3802, -1, 0.7321, -1, 0.3598, 0.0664, -1, 0.7217, 0.3027, 0.2692, 0.10029999999999999, 0.1264, 0.5940000000000001, 0.6731, 0.1028, -1, 0.2142]","[0.00033099999999999997, 7.76e-05, 0.229, 0.0024000000000000002, 0.0008129999999999999, 0.000288, 0.05499999999999999, 0.000288, 0.123, 0.025699999999999997, 0.00033099999999999997, 2.04e-06, 0.10200000000000001, 0.000112, 0.011999999999999999, 0.0302, 0.229, 0.0024000000000000002, 0.257, 0.123, 0.0126, 0.229, 0.00148, 0.000891, 0.000123, 0.021900000000000003, 0.0005369999999999999, 0.00020899999999999998, 0.000288, 3.31e-05, 0.229, 0.00038899999999999997]"
0.87,4.0,"['pink', 'is', 'a', 'girl', 'color', 'well', 'i', 'like', 'green', 'because', 'its', 'the', 'color', 'of', 'leaves']","[0.6799999999999999, 0.10529999999999999, -1, 0.7321, 0.6068, 0.0397, 0.3598, 0.055600000000000004, 0.6275000000000001, 0.048799999999999996, 0.2048, 0.1768, 0.6068, -1, 0.496]","[0.00033099999999999997, 0.117, 0.229, 0.0024000000000000002, 0.0008129999999999999, 0.0107, 0.123, 0.025699999999999997, 0.00135, 0.0107, 0.0138, 0.5369999999999999, 0.0008129999999999999, 0.251, 0.0006169999999999999]"
0.87,13.0,"['pretend', 'youre', 'not', 'a', 'jew']","[0.0884, 0.3984, 0.0521, -1, 0.5501]","[0.000214, 7.24e-05, 0.049, 0.229, 7.41e-05]"
0.87,14.0,"['whats', 'happened', 'to', 'our', 'country']","[0.3292, 0.1081, -1, 0.12940000000000002, 0.589]","[7.59e-05, 0.0015799999999999998, 0.269, 0.0138, 0.00302]"
0.88,12.0,"['no', 'one', 'ever', 'mentions', 'farmers', 'you', 'know', 'everyone', 'here', 'ate', 'today']","[0.0786, 0.4476, 0.061, 0.27090000000000003, 0.6786, 0.371, 0.0664, 0.174, 0.1434, 0.5186, 0.11910000000000001]","[0.022399999999999996, 0.0295, 0.00457, 0.000123, 0.000269, 0.0955, 0.0126, 0.0029500000000000004, 0.00933, 0.000219, 0.00355]"
0.88,6.0,"['theres', 'every', 'different', 'kind', 'of', 'ariel', 'in', 'the', 'multiverse']","[0.16240000000000002, 0.10969999999999999, 0.09419999999999999, 0.1365, -1, 0.4718, 0.1389, 0.1768, 0.20600000000000002]","[7.94e-05, 0.00617, 0.0038900000000000002, 0.0028200000000000005, 0.251, 3.4699999999999996e-05, 0.186, 0.5369999999999999, 7.08e-06]"
0.89,,"['i', 'just', 'think', 'its', 'funny', 'how', 'you', 'havent', 'complimented', 'my', 'very', 'beautiful', 'sister', 'who', 'spent', 'time', 'doing', 'her', 'makeup', 'and', 'picking', 'out', 'her', 'outfit']","[0.3598, 0.1784, 0.0436, 0.2048, 0.056999999999999995, 0.040799999999999996, 0.371, 0.06810000000000001, 0.2056, 0.2578, 0.0576, 0.0745, 0.6441, 0.10029999999999999, 0.23290000000000002, 0.2742, 0.1351, 0.5586, 0.6628000000000001, -1, 0.4746, 0.1303, 0.5586, 0.6235]","[0.123, 0.0269, 0.011999999999999999, 0.0138, 0.0010500000000000002, 0.0174, 0.0955, 3.1599999999999996e-05, 1.48e-05, 0.037200000000000004, 0.01, 0.00166, 0.000891, 0.021900000000000003, 0.0010500000000000002, 0.0195, 0.00398, 0.02, 0.000245, 0.257, 0.000275, 0.023999999999999997, 0.02, 0.000166]"
0.9,11.0,"['thanks', 'for', 'the', 'life', 'lesson', 'but', 'ill', 'never', 'drive', 'a', 'gas', 'car']","[0.0915, 0.09509999999999999, 0.1768, 0.3547, 0.3345, 0.0396, 0.1018, 0.028599999999999997, 0.5892999999999999, -1, 0.7512, 0.8321999999999999]","[0.0026899999999999997, 0.10200000000000001, 0.5369999999999999, 0.0077599999999999995, 0.000295, 0.0427, 0.0005250000000000001, 0.00813, 0.00135, 0.229, 0.00102, 0.0028200000000000005]"
0.9,13.0,"['this', 'is', 'like', 'the', 'time', 'you', 'showed', 'us', 'how', 'a', 'pay', 'phone', 'works']","[0.0708, 0.10529999999999999, 0.055600000000000004, 0.1768, 0.2742, 0.371, 0.3491, 0.2246, 0.040799999999999996, -1, 0.3815, 0.7886, 0.3367]","[0.0661, 0.117, 0.025699999999999997, 0.5369999999999999, 0.0195, 0.0955, 0.000724, 0.011000000000000001, 0.0174, 0.229, 0.0025099999999999996, 0.002, 0.00195]"
0.9,5.0,"['you', 'watch', 'other', 'people', 'play', 'football', 'why', 'dont', 'you', 'play', 'yourself']","[0.371, 0.5448999999999999, 0.12179999999999999, 0.6335, 0.5034, 0.6759000000000001, 0.040600000000000004, 0.149, 0.371, 0.5034, 0.47850000000000004]","[0.0955, 0.00219, 0.014499999999999999, 0.0178, 0.004070000000000001, 0.00129, 0.00851, 0.00055, 0.0955, 0.004070000000000001, 0.00204]"
0.91,7.0,"['how', 'many', 'nonbinary', 'children', 'are', 'there']","[0.040799999999999996, 0.0751, -1, 0.6834, 0.1086, 0.1049]","[0.0174, 0.00813, 2.04e-06, 0.0029500000000000004, 0.05499999999999999, 0.0204]"
0.91,4.0,"['i', 'wander', 'who', 'really', 'wanted', 'the', 'universe', 'to', 'appear', 'that', 'it', 'started', 'to', 'exist']","[0.3598, 0.2283, 0.10029999999999999, 0.0571, 0.0866, 0.1768, 0.2392, -1, 0.24209999999999998, 0.0639, 0.1464, 0.2589, -1, 0.09519999999999999]","[0.123, 4.68e-05, 0.021900000000000003, 0.00933, 0.00229, 0.5369999999999999, 0.00038899999999999997, 0.269, 0.000708, 0.10200000000000001, 0.0891, 0.00245, 0.269, 0.0005369999999999999]"
0.91,5.0,"['i', 'could', 'also', 'own', 'the', 'plane']","[0.3598, 0.0519, 0.0766, 0.0926, 0.1768, 0.7769]","[0.123, 0.0115, 0.0155, 0.0055000000000000005, 0.5369999999999999, 0.0005250000000000001]"
0.92,8.0,"['we', 'sould', 'make', 'all', 'people', 'feel', 'loved', 'even', 'if', 'other', 'people', 'dont', 'see', 'thath']","[0.1045, 0.3384, 0.2793, 0.07339999999999999, 0.6335, 0.09469999999999999, 0.0605, 0.0435, 0.0349, 0.12179999999999999, 0.6335, 0.149, 0.2973, -1]","[0.0347, 1.3199999999999999e-06, 0.011999999999999999, 0.0331, 0.0178, 0.00468, 0.001, 0.009770000000000001, 0.0295, 0.014499999999999999, 0.0178, 0.00055, 0.0126, 1.1500000000000001e-07]"
0.94,11.0,"['taxes', 'are', 'the', 'subscription', 'to', 'this', 'country', 'and', 'childhood', 'is', 'the', 'free', 'trial”']","[0.3619, 0.1086, 0.1768, 0.29209999999999997, -1, 0.0708, 0.589, -1, 0.4817, 0.10529999999999999, 0.1768, 0.15460000000000002, -1]","[0.000447, 0.05499999999999999, 0.5369999999999999, 0.000115, 0.269, 0.0661, 0.00302, 0.257, 0.000324, 0.117, 0.5369999999999999, 0.00427, 0.000741]"
0.94,4.0,"['sometimes', 'when', 'i', 'feel', 'anxious', 'god', 'touches', 'me', 'not', 'like', 'with', 'his', 'hand', 'its', 'different', 'he', 'touches', 'me', 'in', 'my', 'heart']","[0.040799999999999996, 0.0403, 0.3598, 0.09469999999999999, 0.0836, 0.1905, 0.4748, 0.3802, 0.0521, 0.055600000000000004, 0.18919999999999998, 0.33809999999999996, 0.6804, 0.2048, 0.09419999999999999, 0.24559999999999998, 0.4748, 0.3802, 0.1389, 0.2578, 0.6597999999999999]","[0.00191, 0.0234, 0.123, 0.00468, 0.000123, 0.0037199999999999998, 9.55e-05, 0.0302, 0.049, 0.025699999999999997, 0.0708, 0.0324, 0.0025700000000000002, 0.0138, 0.0038900000000000002, 0.049, 9.55e-05, 0.0302, 0.186, 0.037200000000000004, 0.00204]"
0.95,10.0,"['did', 'you', 'hear', 'that', 'thats', 'not', 'right', 'we', 'should', 'call', 'them', 'intuit']","[0.0935, 0.371, 0.4133, 0.0639, 0.185, 0.0521, 0.11610000000000001, 0.1045, 0.041299999999999996, 0.46929999999999994, 0.1898, 0.07089999999999999]","[0.00912, 0.0955, 0.0017000000000000001, 0.10200000000000001, 0.00033099999999999997, 0.049, 0.00912, 0.0347, 0.009770000000000001, 0.0032400000000000003, 0.0155, 3.0899999999999996e-06]"
0.95,4.0,"['why', 'did', 'the', 'bad', 'mad', 'do', 'this']","[0.040600000000000004, 0.0935, 0.1768, 0.0849, 0.18, 0.0649, 0.0708]","[0.00851, 0.00912, 0.5369999999999999, 0.00339, 0.00055, 0.022399999999999996, 0.0661]"
0.96,3.0,"['everyone', 'dies', 'one', 'day', 'everyone', 'even', 'wolves', 'but', 'not', 'books', 'not', 'words', 'words', 'don’t', 'die”']","[0.174, 0.43570000000000003, 0.4476, 0.5673, 0.174, 0.0435, 0.718, 0.0396, 0.0521, 0.7471, 0.0521, 0.3792, 0.3792, -1, -1]","[0.0029500000000000004, 0.000257, 0.0295, 0.00891, 0.0029500000000000004, 0.009770000000000001, 0.00010200000000000001, 0.0427, 0.049, 0.0014100000000000002, 0.049, 0.00178, 0.00178, 0.0158, 0.00117]"
0.96,8.0,"['they', 'separate', 'everything', 'so', 'we', 'cant', 'understand', 'anything', 'who', 'says', 'music', 'isnt', 'really', 'math', 'or', 'math', 'isnt', 'science', 'really', 'someone', 'made', 'categories', 'but', 'the', 'world', 'is', 'mushier', 'than', 'that']","[0.0989, 0.269, 0.11839999999999999, 0.0381, 0.1045, 0.1113, 0.0698, 0.0861, 0.10029999999999999, 0.3235, 0.6851, -1, 0.0571, 0.5309999999999999, 0.05739999999999999, 0.5309999999999999, -1, 0.17450000000000002, 0.0571, 0.5603, 0.2105, 0.22349999999999998, 0.0396, 0.1768, 0.633, 0.10529999999999999, 0.3059, 0.12090000000000001, 0.0639]","[0.0316, 0.0006760000000000001, 0.00347, 0.0331, 0.0347, 0.000224, 0.00234, 0.00355, 0.021900000000000003, 0.00309, 0.0033100000000000004, 7.76e-05, 0.00933, 0.000282, 0.0347, 0.000282, 7.76e-05, 0.00132, 0.00933, 0.00427, 0.00832, 0.00020400000000000003, 0.0427, 0.5369999999999999, 0.0077599999999999995, 0.117, 1.3200000000000002e-07, 0.013500000000000002, 0.10200000000000001]"
0.96,5.0,"['i', 'know', 'you', 'are', 'a', 'boy', 'but', 'i', 'think', 'you', 'are', 'a', 'theythem', 'kind', 'of', 'boy']","[0.3598, 0.0664, 0.371, 0.1086, -1, 0.7217, 0.0396, 0.3598, 0.0436, 0.371, 0.1086, -1, -1, 0.1365, -1, 0.7217]","[0.123, 0.0126, 0.0955, 0.05499999999999999, 0.229, 0.00148, 0.0427, 0.123, 0.011999999999999999, 0.0955, 0.05499999999999999, 0.229, 0.0, 0.0028200000000000005, 0.251, 0.00148]"
